MsgID.LOCAL_VELOCITY,0.0000000,8.6300000,0.0500000,0.0300000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957748,37.7932815,0.0000000
MsgID.LOCAL_POSITION,128.0780000,13.4003468,0.1298201,-3.0102873
MsgID.LOCAL_VELOCITY,128.0780000,7.8094988,0.0508517,0.0806924
MsgID.GLOBAL_POSITION,0.0000000,-122.3957733,37.7934021,3.0100000
MsgID.LOCAL_VELOCITY,0.0000000,7.8000000,0.0500000,0.0800000
MsgID.LOCAL_POSITION,128.3280000,14.9524393,0.1942572,-3.0039432
MsgID.LOCAL_VELOCITY,128.3280000,5.9004097,-0.0320168,0.1566674
MsgID.GLOBAL_POSITION,0.0000000,-122.3957726,37.7934161,3.0030000
MsgID.LOCAL_VELOCITY,0.0000000,5.9000000,-0.0300000,0.1500000
MsgID.LOCAL_POSITION,128.5790000,16.1388588,0.2310444,-2.9970584
MsgID.LOCAL_VELOCITY,128.5790000,4.1447353,-0.0651734,0.0591811
MsgID.GLOBAL_POSITION,0.0000000,-122.3957722,37.7934268,2.9970000
MsgID.LOCAL_VELOCITY,0.0000000,4.1400000,-0.0600000,0.0500000
MsgID.LOCAL_POSITION,128.8290000,17.2171745,0.0421207,-2.9925852
MsgID.LOCAL_VELOCITY,128.8290000,2.6220303,-0.1282392,0.0541506
MsgID.GLOBAL_POSITION,0.0000000,-122.3957743,37.7934365,2.9920000
MsgID.LOCAL_VELOCITY,0.0000000,2.6200000,-0.1200000,0.0500000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957748,37.7932815,0.0000000
MsgID.LOCAL_POSITION,129.0790000,17.5524502,-0.1076669,-2.9828079
MsgID.LOCAL_VELOCITY,129.0790000,1.1176013,-0.1181814,-0.0341653
MsgID.GLOBAL_POSITION,0.0000000,-122.3957760,37.7934395,2.9820000
MsgID.LOCAL_VELOCITY,0.0000000,1.1100000,-0.1100000,-0.0300000
MsgID.LOCAL_POSITION,129.3290000,17.5569916,0.0158781,-2.9769397
MsgID.LOCAL_VELOCITY,129.3290000,-0.2893336,-0.0453894,-0.1061353
MsgID.GLOBAL_POSITION,0.0000000,-122.3957746,37.7934395,2.9760000
MsgID.LOCAL_VELOCITY,0.0000000,-0.2800000,-0.0400000,-0.1000000
MsgID.LOCAL_POSITION,129.5790000,17.4150219,0.1135323,-2.9766212
MsgID.LOCAL_VELOCITY,129.5790000,-1.5988264,-0.0410214,-0.1604397
MsgID.GLOBAL_POSITION,0.0000000,-122.3957735,37.7934382,2.9760000
MsgID.LOCAL_VELOCITY,0.0000000,-1.5900000,-0.0400000,-0.1600000
MsgID.LOCAL_POSITION,129.8290000,16.8044186,-0.1530533,-2.9766183
MsgID.LOCAL_VELOCITY,129.8290000,-2.7753344,-0.0775122,-0.1633492
MsgID.GLOBAL_POSITION,0.0000000,-122.3957765,37.7934327,2.9760000
MsgID.LOCAL_VELOCITY,0.0000000,-2.7700000,-0.0700000,-0.1600000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957748,37.7932815,0.0000000
MsgID.LOCAL_POSITION,130.0790000,15.8944387,-0.1974152,-2.9697840
MsgID.LOCAL_VELOCITY,130.0790000,-3.1331081,0.0821244,-0.1841309
MsgID.GLOBAL_POSITION,0.0000000,-122.3957770,37.7934246,2.9690000
MsgID.LOCAL_VELOCITY,0.0000000,-3.1300000,0.0800000,-0.1800000
MsgID.LOCAL_POSITION,130.3290000,15.3243475,-0.0547885,-2.9703536
MsgID.LOCAL_VELOCITY,130.3290000,-2.3223565,0.2100879,-0.1655449
MsgID.GLOBAL_POSITION,0.0000000,-122.3957754,37.7934194,2.9700000
MsgID.LOCAL_VELOCITY,0.0000000,-2.3200000,0.2100000,-0.1600000
MsgID.LOCAL_POSITION,130.5790000,15.0952816,0.0648035,-2.9789541
MsgID.LOCAL_VELOCITY,130.5790000,-1.0352618,0.1265513,-0.2109940
MsgID.GLOBAL_POSITION,0.0000000,-122.3957741,37.7934174,2.9780000
MsgID.LOCAL_VELOCITY,0.0000000,-1.0300000,0.1200000,-0.2100000
MsgID.LOCAL_POSITION,130.8290000,14.7362051,0.1151156,-2.9936297
MsgID.LOCAL_VELOCITY,130.8290000,-0.4767996,0.4716103,-0.0851449
MsgID.GLOBAL_POSITION,0.0000000,-122.3957735,37.7934141,2.9930000
MsgID.LOCAL_VELOCITY,0.0000000,-0.4700000,0.4700000,-0.0800000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957748,37.7932815,0.0000000
MsgID.LOCAL_POSITION,131.0800000,14.5245752,0.3790211,-2.9880767
MsgID.LOCAL_VELOCITY,131.0800000,-0.4534211,1.6894562,-0.0563209
MsgID.GLOBAL_POSITION,0.0000000,-122.3957705,37.7934122,2.9880000
MsgID.LOCAL_VELOCITY,0.0000000,-0.4500000,1.6800000,-0.0500000
MsgID.LOCAL_POSITION,131.3300000,14.4304991,1.0278729,-2.9924192
MsgID.LOCAL_VELOCITY,131.3300000,-0.3299682,2.8727849,-0.0330538
MsgID.GLOBAL_POSITION,0.0000000,-122.3957632,37.7934114,2.9920000
MsgID.LOCAL_VELOCITY,0.0000000,-0.3200000,2.8700000,-0.0300000
MsgID.LOCAL_POSITION,131.5800000,14.5335970,1.9023529,-2.9939058
MsgID.LOCAL_VELOCITY,131.5800000,-0.1774762,4.0002732,-0.0426929
MsgID.GLOBAL_POSITION,0.0000000,-122.3957534,37.7934123,2.9930000
MsgID.LOCAL_VELOCITY,0.0000000,-0.1700000,4.0000000,-0.0400000
MsgID.LOCAL_POSITION,131.8300000,14.5611038,2.8223538,-3.0027807
MsgID.LOCAL_VELOCITY,131.8300000,-0.0594013,5.0441923,-0.0257922
MsgID.GLOBAL_POSITION,0.0000000,-122.3957430,37.7934126,3.0020000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0500000,5.0400000,-0.0200000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957748,37.7932815,0.0000000
MsgID.LOCAL_POSITION,132.0800000,14.4916744,4.4045453,-2.9983730
MsgID.LOCAL_VELOCITY,132.0800000,0.0382773,5.9970226,0.0332684
MsgID.GLOBAL_POSITION,0.0000000,-122.3957252,37.7934119,2.9980000
MsgID.LOCAL_VELOCITY,0.0000000,0.0300000,5.9900000,0.0300000
MsgID.LOCAL_POSITION,132.3300000,14.5128040,6.0354443,-2.9928305
MsgID.LOCAL_VELOCITY,132.3300000,0.1719298,6.9586596,-0.0257041
MsgID.GLOBAL_POSITION,0.0000000,-122.3957069,37.7934121,2.9920000
MsgID.LOCAL_VELOCITY,0.0000000,0.1700000,6.9500000,-0.0200000
MsgID.LOCAL_POSITION,132.5800000,14.5729589,7.8035069,-2.9966931
MsgID.LOCAL_VELOCITY,132.5800000,0.3081469,7.8190355,-0.0148422
MsgID.GLOBAL_POSITION,0.0000000,-122.3956870,37.7934127,2.9960000
MsgID.LOCAL_VELOCITY,0.0000000,0.3000000,7.8100000,-0.0100000
MsgID.LOCAL_POSITION,132.8330000,14.6111231,9.8420048,-2.9981148
MsgID.LOCAL_VELOCITY,132.8330000,0.4220938,8.4139061,0.0528298
MsgID.GLOBAL_POSITION,0.0000000,-122.3956641,37.7934130,2.9980000
MsgID.LOCAL_VELOCITY,0.0000000,0.4200000,8.4100000,0.0500000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957748,37.7932815,0.0000000
MsgID.LOCAL_POSITION,133.0830000,14.6640530,11.9156647,-2.9967561
MsgID.LOCAL_VELOCITY,133.0830000,0.5373115,8.4478149,0.0576450
MsgID.GLOBAL_POSITION,0.0000000,-122.3956407,37.7934135,2.9960000
MsgID.LOCAL_VELOCITY,0.0000000,0.5300000,8.4400000,0.0500000
MsgID.LOCAL_POSITION,133.3330000,15.0184088,13.9193516,-3.0048540
MsgID.LOCAL_VELOCITY,133.3330000,0.5724092,7.0641637,0.0522662
MsgID.GLOBAL_POSITION,0.0000000,-122.3956182,37.7934167,3.0040000
MsgID.LOCAL_VELOCITY,0.0000000,0.5700000,7.0600000,0.0500000
MsgID.LOCAL_POSITION,133.5830000,15.2106676,15.4552660,-3.0135863
MsgID.LOCAL_VELOCITY,133.5830000,0.4014690,5.3658066,0.1148019
MsgID.GLOBAL_POSITION,0.0000000,-122.3956009,37.7934184,3.0130000
MsgID.LOCAL_VELOCITY,0.0000000,0.4000000,5.3600000,0.1100000
MsgID.LOCAL_POSITION,133.8330000,15.2713652,16.4842110,-3.0096104
MsgID.LOCAL_VELOCITY,133.8330000,0.2377872,3.7605517,0.1300538
MsgID.GLOBAL_POSITION,0.0000000,-122.3955893,37.7934189,3.0090000
MsgID.LOCAL_VELOCITY,0.0000000,0.2300000,3.7600000,0.1300000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957748,37.7932815,0.0000000
MsgID.LOCAL_POSITION,134.0830000,15.1552477,17.4252701,-3.0027990
MsgID.LOCAL_VELOCITY,134.0830000,0.0902271,2.2528174,0.1433586
MsgID.GLOBAL_POSITION,0.0000000,-122.3955788,37.7934179,3.0020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0900000,2.2500000,0.1400000
MsgID.LOCAL_POSITION,134.3330000,15.1002874,17.8740845,-2.9964917
MsgID.LOCAL_VELOCITY,134.3330000,0.0121301,0.7907389,0.0762583
MsgID.GLOBAL_POSITION,0.0000000,-122.3955737,37.7934174,2.9960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.7900000,0.0700000
MsgID.LOCAL_POSITION,134.5830000,15.1083517,17.9327374,-2.9979348
MsgID.LOCAL_VELOCITY,134.5830000,-0.0234333,-0.5904621,0.0095708
MsgID.GLOBAL_POSITION,0.0000000,-122.3955730,37.7934175,2.9970000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,-0.5900000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3955768,37.7934180,2.9980000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0600000,-1.8400000,0.0000000
MsgID.LOCAL_POSITION,134.8330000,15.1675234,17.5965290,-2.9985974
MsgID.LOCAL_VELOCITY,134.8330000,-0.0633637,-1.8495609,0.0001381
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957748,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3955856,37.7934178,2.9930000
MsgID.LOCAL_VELOCITY,0.0000000,-0.1500000,-2.9500000,0.0100000
MsgID.LOCAL_POSITION,135.0830000,15.1442919,16.8164539,-2.9935424
MsgID.LOCAL_VELOCITY,135.0830000,-0.1515409,-2.9575295,0.0161401
MsgID.GLOBAL_POSITION,0.0000000,-122.3955946,37.7934167,2.9910000
MsgID.LOCAL_VELOCITY,0.0000000,-0.2100000,-3.1500000,-0.0100000
MsgID.LOCAL_POSITION,135.3340000,15.0218430,16.0135937,-2.9916530
MsgID.LOCAL_VELOCITY,135.3340000,-0.2173183,-3.1507726,-0.0192076
MsgID.GLOBAL_POSITION,0.0000000,-122.3956023,37.7934160,2.9920000
MsgID.LOCAL_VELOCITY,0.0000000,-0.1300000,-2.4400000,-0.0100000
MsgID.LOCAL_POSITION,135.5840000,14.9474726,15.3290720,-2.9921067
MsgID.LOCAL_VELOCITY,135.5840000,-0.1341072,-2.4469459,-0.0149948
MsgID.GLOBAL_POSITION,0.0000000,-122.3956090,37.7934178,3.0030000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,-1.2900000,0.0000000
MsgID.LOCAL_POSITION,135.8340000,15.1448612,14.7327051,-3.0037482
MsgID.LOCAL_VELOCITY,135.8340000,-0.0220002,-1.2975366,0.0049348
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957748,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3956092,37.7934170,3.0070000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,-0.5600000,0.0900000
